地名,センター（center.csvを使わない場合は空白化）,可燃ごみ,不燃ごみ,カン・ビン,ペットボトル,資源・有害
友部／青葉町,,火 金,水2,木1 木3,木2 木4,月1 月3,水
友部／旭台,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／旭平,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／旭崎,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／旭丘,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／旭団地,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／RG風の杜 ,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／アクシーズタワー旭台,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／飯田,,火 金,水2,木1 木3,木2 木4,月1 月3,水
友部／石沢,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／内郷,,火 金,水2,木1 木3,木2 木4,月1 月3,水
友部／小原団地,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／大田町,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／大古山,,月 木,水3,火2 火4,火1 火3,金2 金4,水
友部／大沢上,,月 木,水3,火2 火4,火1 火3,金2 金4,水
友部／大沢下,,火 金,水2,木1 木3,木2 木4,月1 月3,水
友部／大沢中,,火 金,水2,木1 木3,木2 木4,月1 月3,水
友部／上市原,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／上町,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／柿橋西区,,火 金,水2,木1 木3,木2 木4,月1 月3,水
友部／柿橋団地,,火 金,水2,木1 木3,木2 木4,月1 月3,水
友部／柏井,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／旧陣屋,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／清住町,,月 木,水3,火2 火4,火1 火3,金2 金4,水
友部／北区,,火 金,水2,木1 木3,木2 木4,月1 月3,水
友部／久保下寺,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／久保,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／グリーンウッド,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／県営友部アパート,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／県営松山アパート,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／香,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／鴻巣１,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／小人町,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／鴻巣２,,火 金,水2,木1 木3,木2 木4,月1 月3,水
友部／サンステージ区,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／下市原,,月 木,水4,火1 火3,火2 火4,金1 金3,水
友部／新宿,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／宿,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／下町,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／下加賀田,,月 木,水3,火2 火4,火1 火3,金2 金4,水
友部／下長兎路,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／白百合区,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／住吉団地,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／住吉新宿,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／住吉本宿,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／滝川,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／舘古宿,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／田向,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／中央,,月 木,水3,火2 火4,火1 火3,金2 金4,水
友部／筒塙,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部駅前,,火 金,水2,木1 木3,木2 木4,月1 月3,水
友部／中市原,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／中町,,月 木,水2,火1 火3,火2 火4,金1 金3,水
友部／中区,,火 金,水2,木1 木3,木2 木4,月1 月3,水
友部／長野,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／随分附本郷,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／随分附笠松,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／長兎路３,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／西飯田,,火 金,水2,木1 木3,木2 木4,月1 月3,水
友部／西内郷,,火 金,水2,木1 木3,木2 木4,月1 月3,水
友部／西原,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／西原住宅班,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／西脇,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／仁古田東部,,火 金,水1,木2 木4,木1 木3,月2 月4,水
友部／仁古田西部,,火 金,水1,木2 木4,木1 木3,月2 月4,水
